Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
17104-02RT-01-10_S18_L002_R1_001	69.53534072467492	49.0	151.0	18.181818181818183	38354483.0
17104-02RT-01-10_S18_L002_R2_001	54.41724343701092	49.0	151.0	9.090909090909092	38354483.0
17104-02RT-01-11_S19_L002_R1_001	68.04924736279045	49.0	151.0	18.181818181818183	25639147.0
17104-02RT-01-11_S19_L002_R2_001	51.37923260590283	49.0	151.0	9.090909090909092	25639147.0
17104-02RT-01-13_S21_L002_R2_001	50.73361329197315	50.0	151.0	9.090909090909092	29478672.0
17104-02RT-01-13_S21_L003_R1_001	65.55989468409066	50.0	151.0	18.181818181818183	29873562.0
17104-02RT-01-13_S21_L003_R2_001	51.52804431964191	50.0	151.0	9.090909090909092	29873562.0
17104-02RT-01-14_S22_L002_R1_001	71.88433102495972	51.0	151.0	18.181818181818183	45571438.0
17104-02RT-01-7_S15_L002_R2_001	53.751028070196135	50.0	151.0	18.181818181818183	29071393.0
17104-02RT-01-7_S15_L003_R1_001	64.66765592875136	49.0	151.0	36.36363636363637	29422828.0
17104-02RT-01-7_S15_L003_R2_001	54.55399192012033	50.0	151.0	18.181818181818183	29422828.0
17104-02RT-01-8_S16_L002_R1_001	70.03912276535218	49.0	151.0	18.181818181818183	39688625.0
17104-02RT-01-8_S16_L002_R2_001	54.81926348389597	49.0	151.0	9.090909090909092	39688625.0
17104-02RT-01-8_S16_L003_R1_001	65.39088811400407	49.0	151.0	18.181818181818183	40192148.0
17104-02RT-01-8_S16_L003_R2_001	53.93999205546385	49.0	151.0	9.090909090909092	40192148.0
